Country,Conflict_Years,Year_Count
Afghanistan,1978-2024,47
Algeria,1954-1963; 1991-2018; 2020,39
Angola,1961-2004; 2007; 2009; 2016-2017; 2019-2020; 2022; 2024,52
Azerbaijan,1991-1995; 1997-1998; 2005; 2008; 2012; 2014-2017; 2020-2023,18
Bangladesh,1975-1991; 2005-2006; 2016-2017,21
Benin,2022-2024,3
Bosnia-Herzegovina,1992-1995,4
Burkina Faso,1985; 1987; 2018-2024,9
Burundi,1965; 1991-1992; 1994-2006; 2008; 2014-2015; 2019-2024,25
Cambodia (Kampuchea),1946-1953; 1967-1998; 2011,41
Cameroon,1957-1961; 1984; 1996; 2015-2024,17
Central African Republic,2001-2002; 2006; 2009-2015; 2017-2024,18
Chad,1966-1972; 1976-1984; 1986-1987; 1989-1994; 1997-2003; 2005-2010; 2015; 2017-2023,45
China,1946-1950; 1954; 1956; 1958-1959; 1962; 1967; 1969; 1974; 1978-1981; 1983-1984; 1986-1988; 2008; 2020,24
Colombia,1964-2016; 2018-2024,60
Comoros,1989; 1997,2
Congo,1993; 1997-1999; 2002; 2016,6
Croatia,1992-1995,4
DR Congo (Zaire),1960-1962; 1964-1965; 1967; 1977-1978; 1996-2001; 2005-2008; 2011-2014; 2016-2024,31
Djibouti,1991-1994; 1999; 2008,6
Ecuador,1995,1
Egypt,1948-1949; 1951-1952; 1956; 1967; 1969-1970; 1973; 1993-1998; 2014-2022,24
El Salvador,1969; 1972; 1979-1991,15
Eritrea,1997-2000; 2003; 2008; 2016,7
Ethiopia,1960; 1964-1996; 1998-2016; 2019-2024,59
Georgia,1991-1993; 2004; 2008,5
Guatemala,1949; 1954; 1963; 1965-1995,34
Guinea,2000-2001,2
Guinea-Bissau,1963-1973; 1998-1999,13
Haiti,1989; 1991; 2004; 2024,4
India,1948-1951; 1956-1959; 1961-1971; 1979-2024,65
Indonesia,1946-1950; 1953; 1958-1969; 1975-1988; 1990-1992; 1997-2005; 2018-2024,51
Iran,1946; 1966-1968; 1974; 1979-1988; 1990-1991; 1993; 1996-1997; 1999-2001; 2005-2011; 2016-2024,39
Iraq,1948-1949; 1958-1959; 1961-1970; 1973-1996; 2003-2024,60
Israel,1946; 1948-2012; 2014; 2018-2024,74
Ivory Coast,2002-2004; 2011,4
Jordan,1948-1949; 1967; 2016,4
Kenya,1952-1956; 1982; 2015-2024,16
Kuwait,1990-1991,2
Kyrgyzstan,2021-2022,2
Laos,1946-1953; 1959-1961; 1963-1973; 1986-1990,27
Lebanon,1948-1949; 1958; 1975-1976; 1982-1986; 1989-1990; 2014-2015; 2017,15
Lesotho,1998,1
Liberia,1980; 1989-1990; 2000-2003,7
Libya,1987; 2011; 2013-2020,10
Malaysia,1948-1960; 1963-1966; 1974-1975; 1981; 2013,21
Mali,1985; 1990-1991; 1994; 2007-2009; 2012-2024,20
Mauritania,1957-1958; 1975-1978; 2010,7
Mexico,1994; 1996,2
Moldova,1992,1
Mozambique,1964-1974; 1977-1992; 2013-2014; 2016; 2018-2024,37
Myanmar (Burma),1948-2024,77
Nepal,1960-1962; 1996-2006,14
Nicaragua,1957; 1977-1979; 1982-1990,13
Niger,1991-1992; 1994-1995; 1997; 2007-2008; 2015-2024,17
Nigeria,1966-1970; 1983; 1996; 2004; 2009; 2011-2024,23
North Macedonia,2001,1
Pakistan,1948; 1964-1965; 1971; 1974-1977; 1984; 1987; 1989-1992; 1994-2004; 2006-2024,44
Papua New Guinea,1990; 1992-1996,6
Peru,1965; 1982-1999; 2007-2010,23
Philippines,1946-1954; 1969-2024,65
Russia (Soviet Union),1946-1950; 1956; 1969; 1979; 1990-1991; 1993-1996; 1999-2020; 2022-2024,39
Rwanda,1990-1994; 1996-2002; 2009-2012; 2016; 2019-2020; 2022-2024,22
Senegal,1990; 1992-1993; 1995; 1997-1998; 2000-2001; 2003; 2011,10
Serbia (Yugoslavia),1991-1992; 1998-1999,4
Sierra Leone,1991-2001,11
Somalia,1964; 1977-1978; 1980; 1982-1984; 1986-1996; 2001-2002; 2006-2024,39
South Sudan,2011-2021,11
Spain,1978-1982; 1985-1987; 1991,9
Sri Lanka,1971; 1984-2001; 2003; 2005-2009,25
Sudan,1963-1972; 1976; 1983-2018; 2020-2024,52
Syria,1948-1949; 1966-1967; 1973; 1979-1982; 2011-2024,23
Tajikistan,1992-1998; 2000; 2010-2011; 2018-2019; 2021-2022,14
Tanzania,1978; 2020,2
Thailand,1946; 1951; 1974-1982; 1986-1988; 2003-2024,36
Togo,1986; 2022-2024,4
Trinidad and Tobago,1990,1
Tunisia,1953-1956; 1961; 1980; 2013-2016,10
Turkey,1974; 1984-2013; 2015-2024,41
Uganda,1971-1972; 1974; 1978-1992; 1994-2011; 2013-2017; 2022,42
Ukraine,2014-2024,11
Uzbekistan,1999-2000; 2004,3
Venezuela,1962; 1982; 1992,3
Yemen (North Yemen),1948; 1962-1970; 1972; 1979-1982; 1994; 2009-2024,32
